Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg▲,,OWS,DWS,WS,WS/40
Megan Gustafson,PHO,C,34,514,34,514,20.2,0.608,0.564,0.222,0.32,11.4,15.8,9.5,1.3,2.3,14.3,23.5,111,109,,1.3,0.3,1.6,0.124
Dana Evans,CHI,G,39,837,39,837,11.8,0.485,0.425,0.444,0.276,1,3.3,22.6,1.6,0.4,14.4,22.5,97,109,,0.2,0.4,0.6,0.029
Crystal Dangerfield,DAL,G,35,973,35,973,11.5,0.492,0.473,0.332,0.096,3.1,5.9,16.2,1.7,0.6,12.3,14.4,107,109,,1.1,0.5,1.6,0.066
Madi Williams,PHO,G-F,5,46,5,46,-2.8,0.333,0.333,0.2,0,5.5,6.7,3.6,2.3,1.8,28.6,21.3,54,110,,-0.3,0,-0.3,-0.253
Kristy Wallace,IND,G,37,728,37,728,10.4,0.499,0.481,0.366,0.121,3.6,6.8,15.7,1.6,1.1,16.7,18,97,110,,0.1,0.3,0.3,0.019
Kayana Traylor,MIN,G,8,35,8,35,1.8,0.368,0.3,0.1,0.2,3.3,1.7,13.3,2.9,0,21.6,17.9,73,110,,-0.1,0,-0.1,-0.11
Victaria Saxton,IND,F,15,54,15,54,1.7,0.451,0.361,0.111,0.389,4.4,11.2,0,1,0,22.2,22.5,77,110,,-0.2,0,-0.1,-0.109
Taylor Mikesell,ATL,G,6,29,6,29,21.7,0.723,0.65,0.7,0.4,0,3.9,12.4,0,0,7.8,19.3,136,110,,0.2,0,0.2,0.226
Bridget Carleton,MIN,F,38,573,38,573,7.7,0.49,0.471,0.748,0.126,3.9,9,9,1.2,0.5,11.3,11.2,102,110,,0.3,0.2,0.5,0.036
Grace Berger,IND,G,36,524,36,524,11.3,0.547,0.512,0.268,0.197,1.6,6.5,20,1.7,1,21.1,15,102,110,,0.4,0.2,0.6,0.044
Diana Taurasi,PHO,G,26,709,26,709,17.8,0.565,0.503,0.588,0.352,0.4,8.1,32.1,1,1.4,17.5,29.4,103,111,,1,0.1,1.1,0.065
Taylor Soule,CHI,F,15,53,15,53,-2.9,0.257,0.143,0.214,0.571,6.5,8.9,7.8,0,1.5,18.6,18.1,61,111,,-0.3,0,-0.2,-0.181
Jennie Simms,PHO,G,6,70,6,70,2.4,0.381,0.286,0.357,0.5,7.3,11.5,6.6,1.5,0,26,15.4,72,111,,-0.2,0,-0.2,-0.105
Michaela Onyenwere,PHO,F,40,953,40,953,9.4,0.498,0.458,0.345,0.245,6.4,9.6,9.4,1.6,1.7,18.5,21.5,89,111,,-1,0.3,-0.7,-0.03
Tiffany Mitchell,MIN,G,33,763,33,763,6.7,0.496,0.434,0.211,0.31,2.8,5.8,16.2,1.1,0.3,22.4,18.5,89,111,,-0.7,0.1,-0.6,-0.032
Nikolina Milic,MIN,F,39,494,39,494,12.1,0.533,0.484,0.115,0.292,6.6,10.9,12.2,0.4,0.9,16.2,23.7,98,111,,0.2,0.1,0.3,0.025
Moriah Jefferson,PHO,G,39,972,39,972,14,0.509,0.484,0.282,0.132,1.2,4.9,26.8,2.3,0.6,13.5,22.4,99,111,,0.6,0.2,0.8,0.031
Nia Clouden,LAS,G,5,54,5,54,-2.7,0.368,0.35,0.3,0.2,0,2.2,25.6,0,0,42.4,16,61,111,,-0.3,0,-0.2,-0.177
Kaila Charles,SEA,G-F,4,41,4,41,-1.2,0.25,0.25,0.167,0,8.2,6.9,3.9,1.2,0,0,13,72,111,,-0.1,0,-0.1,-0.083
Maya Caldwell,IND,G,30,304,30,304,2.3,0.371,0.319,0.403,0.194,3.5,5.4,9.2,1.5,0.9,22,14.8,74,111,,-0.7,0.1,-0.7,-0.091
